id,usuarioId,restauranteId,fecha,estado,total,articulos
o1,u20,r1,2023-02-10 11:44:00,pendiente,9.35,"[{""menuItemId"": ""m5"", ""nombre"": ""Platillo 5"", ""cantidad"": 1, ""precio"": 9.35}]"
o2,u3,r7,2023-02-12 16:48:00,pendiente,28.05,"[{""menuItemId"": ""m5"", ""nombre"": ""Platillo 5"", ""cantidad"": 3, ""precio"": 9.35}]"
o3,u6,r7,2023-02-07 20:14:00,completado,244.95,"[{""menuItemId"": ""m9"", ""nombre"": ""Platillo 9"", ""cantidad"": 2, ""precio"": 31.69}, {""menuItemId"": ""m6"", ""nombre"": ""Platillo 6"", ""cantidad"": 4, ""precio"": 41.71}, {""menuItemId"": ""m10"", ""nombre"": ""Platillo 10"", ""cantidad"": 1, ""precio"": 14.73}]"
o4,u4,r1,2023-02-21 19:59:00,cancelado,145.92,"[{""menuItemId"": ""m7"", ""nombre"": ""Platillo 7"", ""cantidad"": 2, ""precio"": 48.86}, {""menuItemId"": ""m4"", ""nombre"": ""Platillo 4"", ""cantidad"": 5, ""precio"": 9.64}]"
o5,u14,r3,2023-02-03 13:39:00,completado,119.09,"[{""menuItemId"": ""m8"", ""nombre"": ""Platillo 8"", ""cantidad"": 4, ""precio"": 21.71}, {""menuItemId"": ""m3"", ""nombre"": ""Platillo 3"", ""cantidad"": 5, ""precio"": 6.45}]"
o6,u9,r4,2023-02-27 18:26:00,completado,195.44,"[{""menuItemId"": ""m7"", ""nombre"": ""Platillo 7"", ""cantidad"": 4, ""precio"": 48.86}]"
o7,u9,r5,2023-02-01 13:35:00,cancelado,126.76,"[{""menuItemId"": ""m9"", ""nombre"": ""Platillo 9"", ""cantidad"": 4, ""precio"": 31.69}]"
o8,u10,r2,2023-02-03 17:30:00,cancelado,137.18,"[{""menuItemId"": ""m5"", ""nombre"": ""Platillo 5"", ""cantidad"": 1, ""precio"": 9.35}, {""menuItemId"": ""m8"", ""nombre"": ""Platillo 8"", ""cantidad"": 5, ""precio"": 21.71}, {""menuItemId"": ""m4"", ""nombre"": ""Platillo 4"", ""cantidad"": 2, ""precio"": 9.64}]"
o9,u19,r6,2023-02-20 15:02:00,cancelado,248.65,"[{""menuItemId"": ""m10"", ""nombre"": ""Platillo 10"", ""cantidad"": 5, ""precio"": 14.73}, {""menuItemId"": ""m3"", ""nombre"": ""Platillo 3"", ""cantidad"": 2, ""precio"": 6.45}, {""menuItemId"": ""m2"", ""nombre"": ""Platillo 2"", ""cantidad"": 5, ""precio"": 32.42}]"
o10,u16,r10,2023-02-05 18:16:00,cancelado,125.13,"[{""menuItemId"": ""m6"", ""nombre"": ""Platillo 6"", ""cantidad"": 3, ""precio"": 41.71}]"
o11,u6,r7,2023-02-09 19:25:00,completado,38.56,"[{""menuItemId"": ""m4"", ""nombre"": ""Platillo 4"", ""cantidad"": 4, ""precio"": 9.64}]"
o12,u8,r9,2023-02-19 17:39:00,completado,290.94,"[{""menuItemId"": ""m1"", ""nombre"": ""Platillo 1"", ""cantidad"": 5, ""precio"": 45.22}, {""menuItemId"": ""m2"", ""nombre"": ""Platillo 2"", ""cantidad"": 2, ""precio"": 32.42}]"
o13,u11,r1,2023-02-24 12:49:00,pendiente,337.7,"[{""menuItemId"": ""m1"", ""nombre"": ""Platillo 1"", ""cantidad"": 4, ""precio"": 45.22}, {""menuItemId"": ""m9"", ""nombre"": ""Platillo 9"", ""cantidad"": 1, ""precio"": 31.69}, {""menuItemId"": ""m6"", ""nombre"": ""Platillo 6"", ""cantidad"": 3, ""precio"": 41.71}]"
