id,nombre,direccion,lat,lng,telefono,email,horario
r1,Restaurante 1,"Calle 1, No. 10, Ciudad XYZ",10.1,-74.1,555-10001,contacto1@restaurante.com,"[{""dia"": ""Lunes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Martes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Miércoles"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Jueves"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Viernes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}]"
r2,Restaurante 2,"Calle 2, No. 20, Ciudad XYZ",10.2,-74.2,555-10002,contacto2@restaurante.com,"[{""dia"": ""Lunes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Martes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Miércoles"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Jueves"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Viernes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}]"
r3,Restaurante 3,"Calle 3, No. 30, Ciudad XYZ",10.3,-74.3,555-10003,contacto3@restaurante.com,"[{""dia"": ""Lunes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Martes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Miércoles"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Jueves"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Viernes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}]"
r4,Restaurante 4,"Calle 4, No. 40, Ciudad XYZ",10.4,-74.4,555-10004,contacto4@restaurante.com,"[{""dia"": ""Lunes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Martes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Miércoles"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Jueves"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Viernes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}]"
r5,Restaurante 5,"Calle 5, No. 50, Ciudad XYZ",10.5,-74.5,555-10005,contacto5@restaurante.com,"[{""dia"": ""Lunes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Martes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Miércoles"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Jueves"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Viernes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}]"
r6,Restaurante 6,"Calle 6, No. 60, Ciudad XYZ",10.6,-74.6,555-10006,contacto6@restaurante.com,"[{""dia"": ""Lunes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Martes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Miércoles"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Jueves"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Viernes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}]"
r7,Restaurante 7,"Calle 7, No. 70, Ciudad XYZ",10.7,-74.7,555-10007,contacto7@restaurante.com,"[{""dia"": ""Lunes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Martes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Miércoles"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Jueves"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Viernes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}]"
r8,Restaurante 8,"Calle 8, No. 80, Ciudad XYZ",10.8,-74.8,555-10008,contacto8@restaurante.com,"[{""dia"": ""Lunes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Martes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Miércoles"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Jueves"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Viernes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}]"
r9,Restaurante 9,"Calle 9, No. 90, Ciudad XYZ",10.9,-74.9,555-10009,contacto9@restaurante.com,"[{""dia"": ""Lunes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Martes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Miércoles"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Jueves"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Viernes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}]"
r10,Restaurante 10,"Calle 10, No. 100, Ciudad XYZ",11.0,-75.0,555-10010,contacto10@restaurante.com,"[{""dia"": ""Lunes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Martes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Miércoles"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Jueves"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}, {""dia"": ""Viernes"", ""apertura"": ""09:00"", ""cierre"": ""18:00""}]"
